Go.	Ṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8325200 (Yagurten)
Wait!	Ggani!	CC-BY 2.0 (France) Attribution: tatoeba.org #1744314 (belgavox) & #6878621 (Amgaray)
Wait!	ⵇⵇⴻⵍ	CC-BY 2.0 (France) Attribution: tatoeba.org #1744314 (belgavox) & #8233531 (aakouri)
Wait.	Ṛju.	CC-BY 2.0 (France) Attribution: tatoeba.org #3048304 (camilozeta) & #1626490 (Amastan)
Begin.	Bdu.	CC-BY 2.0 (France) Attribution: tatoeba.org #6102432 (mailohilohi) & #7665187 (MessDjaaf)
Go on.	Kemmel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2230774 (CK) & #2551003 (Amastan)
Hello!	Azul.	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #1733684 (Amastan)
Hello!	ⴰⵣⵓⵍ !	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #8871520 (aakouri)
Hurry!	Ɣiwel!	CC-BY 2.0 (France) Attribution: tatoeba.org #1182334 (Hideousss) & #1673968 (Amastan)
I hid.	Ffreɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #8397686 (CK) & #2231541 (Amastan)
I see.	Gziɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #7637751 (Amastan)
I see.	Walaɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #9521283 (Yagurten)
I see.	Ttwaliɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #9521284 (Yagurten)
I try.	La ɛerrḍeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #5812263 (Amastan)
I try.	La ttarmeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #5812264 (Amastan)
I try.	ⴰⵔ ⵜⵜⴰⵔⴻⵎⵖ	CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #8233722 (aakouri)
Shoot!	Qres.	CC-BY 2.0 (France) Attribution: tatoeba.org #7422159 (CM) & #8325202 (Yagurten)
Smile.	Zmumeg.	CC-BY 2.0 (France) Attribution: tatoeba.org #2764108 (CK) & #7320538 (MessDjaaf)
Ask me.	Tter-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8701967 (Amastan)
Ask me.	Ttret-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8701968 (Amastan)
Ask me.	Ttrem-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8701969 (Amastan)
Ask me.	Ttremt-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8701970 (Amastan)
Attack!	Nṭeg!	CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #8087030 (Amastan)
Attack!	Neṭget!	CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #8087031 (Amastan)
Attack!	Neṭgem!	CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #8087032 (Amastan)
Attack!	Neṭgemt!	CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #8087033 (Amastan)
Cheers!	S tezmert-nnek!	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #1733680 (Amastan)
Cheers!	ⵙ ⵜⴷⵓⵙⵉ ⵏⵏⴻⴽ !	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #8871574 (aakouri)
Eat it.	Ečč-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #4768107 (garborg) & #7591342 (Yagurten)
Got it?	Tfehmeḍ?	CC-BY 2.0 (France) Attribution: tatoeba.org #455353 (FeuDRenais) & #1599292 (Amastan)
He ran.	Yuzzel.	CC-BY 2.0 (France) Attribution: tatoeba.org #672229 (CK) & #2043189 (Amastan)
He ran.	Yella yettazzal.	CC-BY 2.0 (France) Attribution: tatoeba.org #672229 (CK) & #2043193 (Amastan)
Hop in.	Neggez-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716587 (Amastan)
Hop in.	Neggzet-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716588 (Amastan)
Hop in.	Neggzem-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716590 (Amastan)
Hop in.	Neggzemt-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716591 (Amastan)
Hop in.	Ali-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716592 (Amastan)
Hop in.	Alit-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716593 (Amastan)
Hop in.	Alim-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716594 (Amastan)
Hop in.	Alimt-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8716595 (Amastan)
Hug me.	Ḥmec-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #1852504 (CK) & #7637752 (Amastan)
I know.	Ẓriɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #319990 (CK) & #1620440 (Amastan)
I left.	Ddiɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2307509 (erikspen) & #2327861 (Amastan)
I work.	Nekk xeddmeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1581080 (olgalu) & #2450073 (Amastan)
I work.	Nekk ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1581080 (olgalu) & #5727662 (Amastan)
Listen.	Sel.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913088 (CK) & #5812327 (Amastan)
Listen.	Smuzget.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913088 (CK) & #7292107 (MessDjaaf)
No way!	D awezɣi!	CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CS) & #5812783 (Amastan)
Really?	D tidet?	CC-BY 2.0 (France) Attribution: tatoeba.org #373216 (kotobaboke) & #1733674 (Amastan)
Really?	ⵜⵉⴷⴻⵜ ?	CC-BY 2.0 (France) Attribution: tatoeba.org #373216 (kotobaboke) & #8871516 (aakouri)
We ate.	Nečča.	CC-BY 2.0 (France) Attribution: tatoeba.org #5401685 (sarefo) & #9394528 (Yagurten)
We try.	La nettarem.	CC-BY 2.0 (France) Attribution: tatoeba.org #247763 (CK) & #5812268 (Amastan)
We try.	La nɛerreḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #247763 (CK) & #5812269 (Amastan)
We won.	Nerna.	CC-BY 2.0 (France) Attribution: tatoeba.org #2107675 (CK) & #2854944 (Uyezjen)
Why me?	Acimi d nekk?	CC-BY 2.0 (France) Attribution: tatoeba.org #24958 (CK) & #7320551 (MessDjaaf)
Why me?	ⵎⴰⵅ ⵏⵉⴽ ?	CC-BY 2.0 (France) Attribution: tatoeba.org #24958 (CK) & #8233746 (aakouri)
Ask Tom.	Tter Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954263 (CK) & #3645720 (Amastan)
Ask Tom.	Sesten Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954263 (CK) & #7244530 (MessDjaaf)
Ask Tom.	Sseqsi Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954263 (CK) & #7244535 (MessDjaaf)
Ask him.	Tter-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #3919925 (CH) & #5788917 (Amastan)
Ask him.	Ssuter-as.	CC-BY 2.0 (France) Attribution: tatoeba.org #3919925 (CH) & #5788918 (Amastan)
Awesome!	ⵓⵔ ⵉⵍⵍⵉ ⵎⴰⵜ ⵢⵓⴼⵏ	CC-BY 2.0 (France) Attribution: tatoeba.org #433512 (CK) & #8233345 (aakouri)
Awesome!	ⵉⵛⵡⴰ ⴱⴰⵀⵔⴰ !	CC-BY 2.0 (France) Attribution: tatoeba.org #433512 (CK) & #8871479 (aakouri)
Be calm.	Hedden iman-nnek.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916317 (CK) & #2043303 (Amastan)
Be calm.	Hedden iman-nnem.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916317 (CK) & #2043304 (Amastan)
Be calm.	Heddnet iman-nwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916317 (CK) & #2043307 (Amastan)
Be calm.	Heddnemt iman-nwent.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916317 (CK) & #2043310 (Amastan)
Be cool.	Ili-k telhid.	CC-BY 2.0 (France) Attribution: tatoeba.org #1860752 (CK) & #7637822 (Amastan)
Be cool.	Ili-kem telhid.	CC-BY 2.0 (France) Attribution: tatoeba.org #1860752 (CK) & #7637823 (Amastan)
Be cool.	Ilit-ken telham.	CC-BY 2.0 (France) Attribution: tatoeba.org #1860752 (CK) & #7637824 (Amastan)
Be cool.	Ilimt-kent telhamt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1860752 (CK) & #7637825 (Amastan)
Be fair.	Ili-k d uɣdim.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916316 (CK) & #7637830 (Amastan)
Be fair.	Ili-kem d tuɣdimt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916316 (CK) & #7637831 (Amastan)
Be fair.	Ilit-ken d uɣdimen.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916316 (CK) & #7637832 (Amastan)
Be fair.	Ilimt-kent d tuɣdimin.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916316 (CK) & #7637833 (Amastan)
Be good.	Ili-k telhid.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #7637822 (Amastan)
Be good.	Ili-kem telhid.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #7637823 (Amastan)
Be good.	Ili-ken telham.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413391 (Amastan)
Be good.	Ili-kent telhamt.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413394 (Amastan)
Be good.	Ili-k d amelhu.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413395 (Amastan)
Be good.	Ili-kem d tamelhut.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413396 (Amastan)
Be good.	Ili-ken d imelha.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413397 (Amastan)
Be good.	Ili-kent d timelha.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413399 (Amastan)
Be good.	Ili d amelhu.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413400 (Amastan)
Be good.	Ili d tamelhut.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413402 (Amastan)
Be good.	Ilit d imelha.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413403 (Amastan)
Be good.	Ilim d imelha.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413404 (Amastan)
Be good.	Ilimt d timelha.	CC-BY 2.0 (France) Attribution: tatoeba.org #7932304 (Seael) & #8413406 (Amastan)
Be kind.	Ili-k d uḥdiq.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916315 (CK) & #7637826 (Amastan)
Be kind.	Ili-kem d tuḥdiqt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916315 (CK) & #7637827 (Amastan)
Be kind.	Ilit-ken d uḥdiqen.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916315 (CK) & #7637828 (Amastan)
Be kind.	Ilimt-kent d tuḥdiqin.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916315 (CK) & #7637829 (Amastan)
Be nice.	Ili-k telhid.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916314 (CK) & #7637822 (Amastan)
Be nice.	Ili-kem telhid.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916314 (CK) & #7637823 (Amastan)
Be nice.	Ilit-ken telham.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916314 (CK) & #7637824 (Amastan)
Be nice.	Ilimt-kent telhamt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916314 (CK) & #7637825 (Amastan)
Bury it.	Mḍel-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775329 (Amastan)
Bury it.	Mḍel-itt.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775330 (Amastan)
Bury it.	Meḍlet-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775331 (Amastan)
Bury it.	Meḍlet-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775332 (Amastan)
Bury it.	Meḍlem-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775333 (Amastan)
Bury it.	Meḍlem-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775334 (Amastan)
Bury it.	Meḍlemt-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775335 (Amastan)
Bury it.	Meḍlemt-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8775336 (Amastan)
Call me.	Ɣer-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1553532 (CK) & #1657230 (Amastan)
Call us.	Ɣer-aɣ-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1916313 (CK) & #2352340 (Amastan)
Come in.	Kcem-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #1760730 (Amastan)
Come in.	Adef-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #2551338 (Amastan)
Come in.	Adfet-d!	CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #3498919 (Amastan)
Come in.	Adfemt-d!	CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #3498920 (Amastan)
Come in.	Kecmet-d!	CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #3498921 (Amastan)
Come on!	Aha!	CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #1625575 (Amastan)
Come on!	Aywa!	CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #2859577 (Uyezjen)
Come on.	Aywa!	CC-BY 2.0 (France) Attribution: tatoeba.org #1954266 (CK) & #2859577 (Uyezjen)
Fold it.	Ḍfes-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #6051416 (mailohilohi) & #9358512 (Yagurten)
Get Tom.	Ḍḍef-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972633 (CK) & #7637853 (Amastan)
Get Tom.	Ḍḍfet-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972633 (CK) & #7637854 (Amastan)
Get Tom.	Ḍḍfemt-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972633 (CK) & #7637855 (Amastan)
Get out!	Ffeɣ!	CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #8325241 (Yagurten)
Get out!	Ffeɣ fell-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #8325242 (Yagurten)
Get out!	Ffeɣ fell-aneɣ!	CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #8325244 (Yagurten)
Get out.	Ffeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #22016 (Eldad) & #7320544 (MessDjaaf)
Go away!	Erẓ akkin!	CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #1722773 (Amastan)
Go away!	Ddu!	CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #1755449 (Amastan)
Go away!	Uɣal akk-in!	CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #7261300 (MessDjaaf)
Goodbye!	ⴰⵔ ⵜⵓⴼⴰⵜ !	CC-BY 2.0 (France) Attribution: tatoeba.org #516745 (minshirui) & #8871587 (aakouri)
Hang on.	Ggani!	CC-BY 2.0 (France) Attribution: tatoeba.org #1972640 (CK) & #6878621 (Amgaray)
He came.	Yus‑d.	CC-BY 2.0 (France) Attribution: tatoeba.org #853153 (piksea) & #2896914 (Uyezjen)
He came.	Yusa-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #853153 (piksea) & #7323129 (Amastan)
He came.	Netta yusa-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #853153 (piksea) & #7840839 (Amastan)
He left.	Yeffeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #3259071 (CH) & #1625721 (Amastan)
He left.	Yedda.	CC-BY 2.0 (France) Attribution: tatoeba.org #3259071 (CH) & #2928469 (Amastan)
He quit.	Yettaxer.	CC-BY 2.0 (France) Attribution: tatoeba.org #1580339 (sam_m) & #2933143 (Amastan)
He runs.	Yettazzal.	CC-BY 2.0 (France) Attribution: tatoeba.org #672254 (CK) & #7840838 (Amastan)
Help me!	Alel-iyi!	CC-BY 2.0 (France) Attribution: tatoeba.org #1126684 (CK) & #8258626 (Amastan)
Help me!	Allet-iyi!	CC-BY 2.0 (France) Attribution: tatoeba.org #1126684 (CK) & #8258627 (Amastan)
Help me!	Allem-iyi!	CC-BY 2.0 (France) Attribution: tatoeba.org #1126684 (CK) & #8258628 (Amastan)
Help me!	Allemt-iyi!	CC-BY 2.0 (France) Attribution: tatoeba.org #1126684 (CK) & #8258629 (Amastan)
Help me.	Alel-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #266065 (Zifre) & #7023106 (Amastan)
Help me.	Allet-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #266065 (Zifre) & #7023107 (Amastan)
Help me.	Allem-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #266065 (Zifre) & #8256169 (Amastan)
Help me.	Allemt-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #266065 (Zifre) & #8256170 (Amastan)
Help us.	Ɛawen-aneɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2187193 (CK) & #8179874 (Yagurten)
Hi, Tom.	Azul a Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2549834 (CK) & #1763218 (Amastan)
Hit Tom.	Wet Tom!	CC-BY 2.0 (France) Attribution: tatoeba.org #2203859 (CK) & #3645541 (Amastan)
Hold it!	Ṭṭef-it!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705411 (Amastan)
Hold it!	Ṭṭef-itt!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705412 (Amastan)
Hold it!	Ṭṭfet-tt!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705413 (Amastan)
Hold it!	Ṭṭfet-t!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705414 (Amastan)
Hold it!	Ṭṭfem-t!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705415 (Amastan)
Hold it!	Ṭṭfem-tt!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705416 (Amastan)
Hold it!	Ṭṭfemt-t!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705417 (Amastan)
Hold it!	Ṭṭfemt-tt!	CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #8705418 (Amastan)
Hold on.	Ṛju.	CC-BY 2.0 (France) Attribution: tatoeba.org #1357000 (sacredceltic) & #1626490 (Amastan)
Hug Tom.	Ḥmec Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #7819078 (Amastan)
I moved.	Guǧǧeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828617 (CK) & #9358334 (Yagurten)
I'm fat.	Zureɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1120816 (cntrational) & #5779495 (Amastan)
I'm fat.	Nekk zureɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1120816 (cntrational) & #5779496 (Amastan)
I'm hot.	Yenɣa-iyi weẓɣal.	CC-BY 2.0 (France) Attribution: tatoeba.org #455953 (lukaszpp) & #1668728 (Amastan)
I'm ill.	Aql-iyi uḍneɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #448236 (CK) & #9358545 (Yagurten)
It's OK.	Ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #413756 (CK) & #1760036 (Amastan)
It's me.	D nekk.	CC-BY 2.0 (France) Attribution: tatoeba.org #42400 (sysko) & #1617405 (Amastan)
It's me.	D nekk aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #42400 (sysko) & #2201749 (Amastan)
Join us.	Rnu-d ɣur-neɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1745546 (belgavox) & #8179871 (Yagurten)
Keep it.	Jmeɛ-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913087 (CK) & #7637745 (Amastan)
Keep it.	Jemɛet-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913087 (CK) & #7637746 (Amastan)
Keep it.	Jemɛemt-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913087 (CK) & #7637747 (Amastan)
Keep it.	Jmeɛ-itt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913087 (CK) & #7637748 (Amastan)
Keep it.	Jemɛet-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913087 (CK) & #7637749 (Amastan)
Keep it.	Jemɛemt-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913087 (CK) & #7637750 (Amastan)
Kiss me.	Ssuden-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #565931 (Fish) & #2351987 (Amastan)
Kiss me.	Ssudnet-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #565931 (Fish) & #8256199 (Amastan)
Kiss me.	Ssudnem-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #565931 (Fish) & #8256200 (Amastan)
Kiss me.	Ssudnemt-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #565931 (Fish) & #8256201 (Amastan)
Me, too.	Ula d nekk.	CC-BY 2.0 (France) Attribution: tatoeba.org #321985 (CK) & #1673474 (Amastan)
Open it.	Ldi-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #8316002 (ritualesatanum) & #9358302 (Yagurten)
Open up.	Ldey!	CC-BY 2.0 (France) Attribution: tatoeba.org #22061 (CM) & #1628012 (Amastan)
Perfect!	Ifaz!	CC-BY 2.0 (France) Attribution: tatoeba.org #374568 (blay_paul) & #1733676 (Amastan)
See you.	Ar ticki.	CC-BY 2.0 (France) Attribution: tatoeba.org #1151432 (Roggy) & #1673787 (Amastan)
Show me.	Ssken-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972649 (CK) & #7637653 (Amastan)
Show me.	Sseknet-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972649 (CK) & #7637654 (Amastan)
Show me.	Sseknemt-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972649 (CK) & #7637655 (Amastan)
Shut up!	Zemmem imi-k!	CC-BY 2.0 (France) Attribution: tatoeba.org #462430 (lukaszpp) & #7268014 (MessDjaaf)
Stop it.	Ḥbes-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704329 (Amastan)
Stop it.	Ḥbes-itt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704330 (Amastan)
Stop it.	Ḥebset-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704331 (Amastan)
Stop it.	Ḥebsem-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704332 (Amastan)
